text_id,seed,iterations,score
domain_5_study_hours,4,1,59.94
domain_5_study_hours,4,2,59.94
domain_5_study_hours,4,3,59.99
domain_5_study_hours,4,5,59.96
domain_5_study_hours,4,10,59.94
domain_6_commute_time,0,0,59.73
domain_6_commute_time,0,1,59.95
domain_6_commute_time,0,2,59.88
domain_6_commute_time,0,3,59.89
domain_6_commute_time,0,5,59.99
domain_6_commute_time,0,10,59.98
domain_6_commute_time,1,0,59.78
domain_6_commute_time,1,1,59.8
domain_6_commute_time,1,2,59.89
domain_6_commute_time,1,3,59.99
domain_6_commute_time,1,5,59.92
domain_6_commute_time,1,10,79.95
domain_6_commute_time,2,0,59.95
domain_6_commute_time,2,1,59.99
domain_6_commute_time,2,2,59.95
domain_6_commute_time,2,3,59.86
domain_6_commute_time,2,5,59.95
domain_6_commute_time,2,10,59.97
domain_6_commute_time,3,0,59.99
domain_6_commute_time,3,1,59.99
domain_6_commute_time,3,2,59.88
domain_6_commute_time,3,3,59.95
domain_6_commute_time,3,5,59.99
domain_6_commute_time,3,10,59.96
domain_6_commute_time,4,0,59.96
domain_6_commute_time,4,1,59.98
domain_6_commute_time,4,2,59.98
domain_6_commute_time,4,3,59.97
domain_6_commute_time,4,5,59.94
domain_6_commute_time,4,10,59.98
domain_7_rainfall,0,0,59.95
domain_7_rainfall,0,1,59.99
domain_7_rainfall,0,2,59.95
domain_7_rainfall,0,3,59.97
domain_7_rainfall,0,5,59.99
domain_7_rainfall,0,10,59.98
domain_7_rainfall,1,0,59.7
domain_7_rainfall,1,1,59.81
domain_7_rainfall,1,2,59.97
domain_7_rainfall,1,3,60.0
domain_7_rainfall,1,5,59.97
domain_7_rainfall,1,10,79.94
domain_7_rainfall,2,0,59.85
domain_7_rainfall,2,1,59.72
domain_7_rainfall,2,2,59.87
domain_7_rainfall,2,3,59.91
domain_7_rainfall,2,5,59.98
domain_7_rainfall,2,10,59.99
domain_7_rainfall,3,0,59.69
domain_7_rainfall,3,1,59.76
domain_7_rainfall,3,2,60.0
domain_7_rainfall,3,3,59.96
domain_7_rainfall,3,5,59.99
domain_7_rainfall,3,10,59.96
domain_7_rainfall,4,0,59.86
domain_7_rainfall,4,1,59.91
domain_7_rainfall,4,2,59.69
domain_7_rainfall,4,3,59.99
domain_7_rainfall,4,5,59.93
domain_7_rainfall,4,10,59.99
